time,title,link,summary
08:40,У Чехії два десятки людей постраждали від влучання блискавки на заході до Дня захисту дітей,https://www.eurointegration.com.ua/news/2024/06/3/7187289/,"У чеському місті Ліберец близько 20 людей постраждали від влучання блискавки під час грози, що перервала програму заходів до Дня захисту дітей."
08:07,"У Португалії під час авіашоу зіткнулися літаки, один пілот загинув",https://www.eurointegration.com.ua/news/2024/06/3/7187287/,"У Португалії під час авіашоу на базі Повітряних сил два літаки зіткнулися у повітрі, внаслідок чого пілот з Іспанії загинув."
08:01,"хокей""Едмонтон"" уперше за 18 років вийшов до фіналу Кубку Стенлі",https://champion.com.ua/ukr/ice-hockey/edmonton-peremig-dallas-ta-viyshov-do-finalu-nhl-1001838/,
No time,"СПЕЦПРОЄКТНебезпека, яка чатує у сховищах: що варто знати про алергію на плісняву та як її діагностувати",https://life.pravda.com.ua/projects/alergiya-na-plisnyavu-301816/,No summary
07:45,"У Німеччині помер поліцейський, поранений під час нападу з ножем на антиісламську акцію",https://www.eurointegration.com.ua/news/2024/06/3/7187286/,"У Німеччині повідомили про смерть у лікарні поліцейського, який отримав поранення під час нападу з ножем на учасників антиісламської акції у Мангеймі минулої п’ятниці."
07:38,ЗСУ за добу відмінусували 1 270 окупантів та 47 артсистем,/news/2024/06/3/7458864/,
07:35,"У Німеччині тривають повені, евакуація загрожує новим районам",https://www.eurointegration.com.ua/news/2024/06/3/7187285/,"У двох німецьких землях, що потерпають від повеней, ситуація залишається складною і місцями погіршується, можлива евакуація у нових районах."
07:18,Росіяни влучили у базу відпочинку на Харківщині: убили людину і ще 2 поранили,/news/2024/06/3/7458862/,
06:32,ППО і дозвіл бити по Росії сукупно дадуть можливість захистити Харків – ISW,/news/2024/06/3/7458861/,
06:04,"оновлено, фотоЗеленський обговорив з президентом Філіппін двосторонні відносини",/news/2024/06/3/7458860/,
05:14,Війна в Україні дає можливості для розвідки США завербувати російських шпигунів – ЗМІ,/news/2024/06/3/7458859/,
04:36,"Росія фінансує пропаганду у Європі через ""Правфонд"" – The Guardian",/news/2024/06/3/7458858/,
03:40,кіберспортЄвропейська кіберспортивна команда G2 перемогла у фіналі IEM Dallas-2024,https://champion.com.ua/ukr/esports/g2-peremogli-vitality-ta-stali-peremozhcyami-turniru-iem-dallas-2024-z-cs2-1001835/,
02:48,"фото, відеоУ ставку на Хмельниччині потонули двоє підлітків",/news/2024/06/3/7458856/,
01:58,Росіяни вдарили по 10 громадах Сумщини,/news/2024/06/3/7458855/,
01:28,Генштаб: На Покровському напрямку – найбільше бойових зіткнень за добу,/news/2024/06/3/7458854/,
